"text","category"
"There has been no electricity in School Street for the past two days.","Electricity"
"There is no water supply in Riverside Ward during peak hours.","Water"
"A large pothole at Riverside Ward is causing vehicles to swerve dangerously.","Roads"
"Garbage has not been collected from Riverside Ward during peak hours.","Waste"
"A group is fighting near West End and residents feel unsafe.","Public Safety"
"Power keeps going off repeatedly in Bus Stand Road every evening.","Electricity"
"A water pipe is leaking heavily near Hospital Road.","Water"
"The road surface in Hospital Road has broken apart after the recent rain.","Roads"
"An overflowing waste bin at Hospital Road is attracting flies and stray dogs.","Waste"
"There have been repeated incidents of harassment around Rose Garden after dark.","Public Safety"
"The streetlights near Sunrise Apartments are not working for several nights.","Electricity"
"Tap water in Industrial Area is brown and has a bad smell for the past two days.","Water"
"An open manhole in the middle of Industrial Area is a serious accident risk.","Roads"
"People are dumping construction waste illegally near Industrial Area.","Waste"
"A suspicious unattended bag has been left at Airport Road.","Public Safety"
"A transformer near Pine Road is making sparks and needs urgent inspection.","Electricity"
"Water pressure is too low for upper-floor residents in Meadow Block.","Water"
"Construction debris is blocking one lane at Meadow Block.","Roads"
"A pile of rotting garbage is blocking the footpath at Meadow Block.","Waste"
"Illegal street racing is taking place near Lakeview Colony at night.","Public Safety"
"Voltage is extremely low in homes around Green Park since this morning.","Electricity"
"A burst pipeline is flooding the road at Cedar Lane.","Water"
"The footpath along Cedar Lane is damaged and difficult for pedestrians to use.","Roads"
"The community bin in Cedar Lane is broken and needs replacement.","Waste"
"The boundary wall of an abandoned building at School Street may collapse.","Public Safety"
"An electric pole at South Extension is leaning dangerously toward the road.","Electricity"
"The public drinking water tap at Central Avenue is broken.","Water"
"A traffic signal at the main junction in Central Avenue is not working.","Roads"
"Waste collection vehicles are skipping Central Avenue repeatedly.","Waste"
"A damaged playground structure in Bus Stand Road could injure children.","Public Safety"
"Loose power cables are hanging over the footpath at Mill Lane.","Electricity"
"Residents in Old Town receive water for only a few minutes each day.","Water"
"Road repair work in Old Town has been left unfinished since this morning.","Roads"
"Plastic and household trash are being burned in the open at Old Town.","Waste"
"People are openly consuming alcohol and creating disturbances at Sunrise Apartments.","Public Safety"
"Residents of Maple Street are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Sewage appears to be mixing with the water supply in Canal Road.","Water"
"The speed breaker at Canal Road has no warning paint or sign.","Roads"
"The vacant plot near Canal Road has become an illegal dumping site.","Waste"
"A large crowd is blocking the emergency entrance near Pine Road.","Public Safety"
"The electricity meter at the community building in Hilltop Area appears faulty.","Electricity"
"The overhead water tank serving Oak Avenue has not been cleaned for months.","Water"
"Rainwater is collecting in deep road depressions at Oak Avenue.","Roads"
"Medical waste has been discarded beside a public bin at Oak Avenue.","Waste"
"There is no security lighting around the public park at Green Park.","Public Safety"
"A loud blast came from the local transformer in East Garden, followed by a blackout.","Electricity"
"A damaged valve near Station Road is wasting a large amount of water.","Water"
"A missing drain cover near Station Road makes the roadside unsafe.","Roads"
"The drain at Station Road is clogged with plastic waste and wrappers.","Waste"
"A stray animal behaving aggressively is chasing pedestrians at South Extension.","Public Safety"
"Only one phase of the power supply is working in Temple Street for the past two days.","Electricity"
"The scheduled water tanker has not arrived in North Colony during peak hours.","Water"
"The approach road to North Colony is full of cracks and loose gravel.","Roads"
"There are not enough public bins around North Colony.","Waste"
"Firecrackers are being used dangerously close to homes in Mill Lane.","Public Safety"
"Streetlights at the main crossing in University Quarter stay dark at night.","Electricity"
"Drinking water supplied to Church Road contains visible dirt particles.","Water"
"A fallen signboard is obstructing traffic at Church Road.","Roads"
"Dead animal remains need to be removed from the roadside at Church Road.","Waste"
"An abandoned vehicle at Maple Street has been there for weeks and appears suspicious.","Public Safety"
"An exposed electrical junction box at Riverside Ward is accessible to children.","Electricity"
"The hand pump at Harbor View is not working for the past two days.","Water"
"The pedestrian crossing markings at Harbor View have completely faded.","Roads"
"Garbage from nearby shops is scattered across Harbor View every night.","Waste"
"A broken railing on the bridge at Hilltop Area poses a fall hazard.","Public Safety"
"Power restoration at Hospital Road has still not happened since yesterday.","Electricity"
"Water collects around a leaking municipal connection in Market Square.","Water"
"Vehicles cannot pass easily because the road at Market Square has narrowed due to damage.","Roads"
"The waste bin at Market Square has no lid and smells very bad.","Waste"
"Unauthorized vendors are blocking the fire access lane at East Garden.","Public Safety"
"Several streetlights along Industrial Area flicker continuously after sunset.","Electricity"
"The main water line at West End needs repair because supply is interrupted daily.","Water"
"The newly paved section of West End is already developing potholes.","Roads"
"Street sweeping has not been done in West End for several nights.","Waste"
"A public building exit at Temple Street is locked during operating hours.","Public Safety"
"The overhead electricity wire at Meadow Block has fallen onto a tree branch.","Electricity"
"There is a strong chlorine taste in the tap water at Rose Garden.","Water"
"A roadside trench at Rose Garden was not filled after utility work.","Roads"
"Food waste is accumulating behind the market at Rose Garden.","Waste"
"Residents report repeated thefts from parked vehicles in University Quarter.","Public Safety"
"Unexpected power cuts are disrupting shops in Cedar Lane for more than three days.","Electricity"
"Apartments in Airport Road are not receiving the announced morning water supply.","Water"
"The curb ramp at Airport Road is broken and inaccessible to wheelchair users.","Roads"
"A garbage truck spilled waste along Airport Road and did not clean it up.","Waste"
"A deep uncovered well near Riverside Ward is accessible to children.","Public Safety"
"The transformer serving Central Avenue seems overloaded and overheats every evening.","Electricity"
"A public water tank in Lakeview Colony is overflowing continuously.","Water"
"There are no warning barriers around a deep excavation at Lakeview Colony.","Roads"
"Residents are leaving trash beside the full collection point in Lakeview Colony.","Waste"
"The emergency alarm in the community center at Hospital Road is not functioning.","Public Safety"
"A broken streetlight pole is blocking part of the sidewalk in Old Town.","Electricity"
"The pipeline repair at School Street was incomplete and the leak has returned.","Water"
"The service road beside School Street needs resurfacing urgently.","Roads"
"Broken glass and cans are scattered in the public area at School Street.","Waste"
"Heavy vehicles are speeding through the residential streets of Industrial Area.","Public Safety"
"Electricity supply in Canal Road is unstable and household appliances are at risk.","Electricity"
"People in Bus Stand Road need emergency drinking water because the supply has stopped.","Water"
"Uneven paving stones on the walkway at Bus Stand Road are causing people to trip.","Roads"
"The compost collection service has stopped visiting Bus Stand Road.","Waste"
"A threatening person is following pedestrians near Meadow Block and needs attention.","Public Safety"
"There has been no electricity in Oak Avenue for the past two days.","Electricity"
"There is no water supply in Sunrise Apartments during peak hours.","Water"
"A large pothole at Sunrise Apartments is causing vehicles to swerve dangerously.","Roads"
"Garbage has not been collected from Sunrise Apartments during peak hours.","Waste"
"A group is fighting near Cedar Lane and residents feel unsafe.","Public Safety"
"Power keeps going off repeatedly in Station Road every evening.","Electricity"
"A water pipe is leaking heavily near Pine Road.","Water"
"The road surface in Pine Road has broken apart after the recent rain.","Roads"
"An overflowing waste bin at Pine Road is attracting flies and stray dogs.","Waste"
"There have been repeated incidents of harassment around Central Avenue after dark.","Public Safety"
"The streetlights near North Colony are not working for several nights.","Electricity"
"Tap water in Green Park is brown and has a bad smell for the past two days.","Water"
"An open manhole in the middle of Green Park is a serious accident risk.","Roads"
"People are dumping construction waste illegally near Green Park.","Waste"
"A suspicious unattended bag has been left at Old Town.","Public Safety"
"A transformer near Church Road is making sparks and needs urgent inspection.","Electricity"
"Water pressure is too low for upper-floor residents in South Extension.","Water"
"Construction debris is blocking one lane at South Extension.","Roads"
"A pile of rotting garbage is blocking the footpath at South Extension.","Waste"
"Illegal street racing is taking place near Canal Road at night.","Public Safety"
"Voltage is extremely low in homes around Harbor View since this morning.","Electricity"
"A burst pipeline is flooding the road at Mill Lane.","Water"
"The footpath along Mill Lane is damaged and difficult for pedestrians to use.","Roads"
"The community bin in Mill Lane is broken and needs replacement.","Waste"
"The boundary wall of an abandoned building at Oak Avenue may collapse.","Public Safety"
"An electric pole at Market Square is leaning dangerously toward the road.","Electricity"
"The public drinking water tap at Maple Street is broken.","Water"
"A traffic signal at the main junction in Maple Street is not working.","Roads"
"Waste collection vehicles are skipping Maple Street repeatedly.","Waste"
"A damaged playground structure in Station Road could injure children.","Public Safety"
"Loose power cables are hanging over the footpath at West End.","Electricity"
"Residents in Hilltop Area receive water for only a few minutes each day.","Water"
"Road repair work in Hilltop Area has been left unfinished since this morning.","Roads"
"Plastic and household trash are being burned in the open at Hilltop Area.","Waste"
"People are openly consuming alcohol and creating disturbances at North Colony.","Public Safety"
"Residents of Rose Garden are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Sewage appears to be mixing with the water supply in East Garden.","Water"
"The speed breaker at East Garden has no warning paint or sign.","Roads"
"The vacant plot near East Garden has become an illegal dumping site.","Waste"
"A large crowd is blocking the emergency entrance near Church Road.","Public Safety"
"The electricity meter at the community building in Airport Road appears faulty.","Electricity"
"The overhead water tank serving Temple Street has not been cleaned for months.","Water"
"Rainwater is collecting in deep road depressions at Temple Street.","Roads"
"Medical waste has been discarded beside a public bin at Temple Street.","Waste"
"There is no security lighting around the public park at Harbor View.","Public Safety"
"A loud blast came from the local transformer in Lakeview Colony, followed by a blackout.","Electricity"
"A damaged valve near University Quarter is wasting a large amount of water.","Water"
"A missing drain cover near University Quarter makes the roadside unsafe.","Roads"
"The drain at University Quarter is clogged with plastic waste and wrappers.","Waste"
"A stray animal behaving aggressively is chasing pedestrians at Market Square.","Public Safety"
"Only one phase of the power supply is working in School Street for the past two days.","Electricity"
"The scheduled water tanker has not arrived in Riverside Ward during peak hours.","Water"
"The approach road to Riverside Ward is full of cracks and loose gravel.","Roads"
"There are not enough public bins around Riverside Ward.","Waste"
"Firecrackers are being used dangerously close to homes in West End.","Public Safety"
"Streetlights at the main crossing in Bus Stand Road stay dark at night.","Electricity"
"Drinking water supplied to Hospital Road contains visible dirt particles.","Water"
"A fallen signboard is obstructing traffic at Hospital Road.","Roads"
"Dead animal remains need to be removed from the roadside at Hospital Road.","Waste"
"An abandoned vehicle at Rose Garden has been there for weeks and appears suspicious.","Public Safety"
"An exposed electrical junction box at Sunrise Apartments is accessible to children.","Electricity"
"The hand pump at Industrial Area is not working for the past two days.","Water"
"The pedestrian crossing markings at Industrial Area have completely faded.","Roads"
"Garbage from nearby shops is scattered across Industrial Area every night.","Waste"
"A broken railing on the bridge at Airport Road poses a fall hazard.","Public Safety"
"Power restoration at Pine Road has still not happened since yesterday.","Electricity"
"Water collects around a leaking municipal connection in Meadow Block.","Water"
"Vehicles cannot pass easily because the road at Meadow Block has narrowed due to damage.","Roads"
"The waste bin at Meadow Block has no lid and smells very bad.","Waste"
"Unauthorized vendors are blocking the fire access lane at Lakeview Colony.","Public Safety"
"Several streetlights along Green Park flicker continuously after sunset.","Electricity"
"The main water line at Cedar Lane needs repair because supply is interrupted daily.","Water"
"The newly paved section of Cedar Lane is already developing potholes.","Roads"
"Street sweeping has not been done in Cedar Lane for several nights.","Waste"
"A public building exit at School Street is locked during operating hours.","Public Safety"
"The overhead electricity wire at South Extension has fallen onto a tree branch.","Electricity"
"There is a strong chlorine taste in the tap water at Central Avenue.","Water"
"A roadside trench at Central Avenue was not filled after utility work.","Roads"
"Food waste is accumulating behind the market at Central Avenue.","Waste"
"Residents report repeated thefts from parked vehicles in Bus Stand Road.","Public Safety"
"Unexpected power cuts are disrupting shops in Mill Lane for more than three days.","Electricity"
"Apartments in Old Town are not receiving the announced morning water supply.","Water"
"The curb ramp at Old Town is broken and inaccessible to wheelchair users.","Roads"
"A garbage truck spilled waste along Old Town and did not clean it up.","Waste"
"A deep uncovered well near Sunrise Apartments is accessible to children.","Public Safety"
"The transformer serving Maple Street seems overloaded and overheats every evening.","Electricity"
"A public water tank in Canal Road is overflowing continuously.","Water"
"There are no warning barriers around a deep excavation at Canal Road.","Roads"
"Residents are leaving trash beside the full collection point in Canal Road.","Waste"
"The emergency alarm in the community center at Pine Road is not functioning.","Public Safety"
"A broken streetlight pole is blocking part of the sidewalk in Hilltop Area.","Electricity"
"The pipeline repair at Oak Avenue was incomplete and the leak has returned.","Water"
"The service road beside Oak Avenue needs resurfacing urgently.","Roads"
"Broken glass and cans are scattered in the public area at Oak Avenue.","Waste"
"Heavy vehicles are speeding through the residential streets of Green Park.","Public Safety"
"Electricity supply in East Garden is unstable and household appliances are at risk.","Electricity"
"People in Station Road need emergency drinking water because the supply has stopped.","Water"
"Uneven paving stones on the walkway at Station Road are causing people to trip.","Roads"
"The compost collection service has stopped visiting Station Road.","Waste"
"A threatening person is following pedestrians near South Extension and needs attention.","Public Safety"
"There has been no electricity in Temple Street for the past two days.","Electricity"
"There is no water supply in North Colony during peak hours.","Water"
"A large pothole at North Colony is causing vehicles to swerve dangerously.","Roads"
"Garbage has not been collected from North Colony during peak hours.","Waste"
"A group is fighting near Mill Lane and residents feel unsafe.","Public Safety"
"Power keeps going off repeatedly in University Quarter every evening.","Electricity"
"A water pipe is leaking heavily near Church Road.","Water"
"The road surface in Church Road has broken apart after the recent rain.","Roads"
"An overflowing waste bin at Church Road is attracting flies and stray dogs.","Waste"
"There have been repeated incidents of harassment around Maple Street after dark.","Public Safety"
"The streetlights near Riverside Ward are not working for several nights.","Electricity"
"Tap water in Harbor View is brown and has a bad smell for the past two days.","Water"
"An open manhole in the middle of Harbor View is a serious accident risk.","Roads"
"People are dumping construction waste illegally near Harbor View.","Waste"
"A suspicious unattended bag has been left at Hilltop Area.","Public Safety"
"A transformer near Hospital Road is making sparks and needs urgent inspection.","Electricity"
"Water pressure is too low for upper-floor residents in Market Square.","Water"
"Construction debris is blocking one lane at Market Square.","Roads"
"A pile of rotting garbage is blocking the footpath at Market Square.","Waste"
"Illegal street racing is taking place near East Garden at night.","Public Safety"
"Voltage is extremely low in homes around Industrial Area since this morning.","Electricity"
"A burst pipeline is flooding the road at West End.","Water"
"The footpath along West End is damaged and difficult for pedestrians to use.","Roads"
"The community bin in West End is broken and needs replacement.","Waste"
"The boundary wall of an abandoned building at Temple Street may collapse.","Public Safety"
"An electric pole at Meadow Block is leaning dangerously toward the road.","Electricity"
"The public drinking water tap at Rose Garden is broken.","Water"
"A traffic signal at the main junction in Rose Garden is not working.","Roads"
"Waste collection vehicles are skipping Rose Garden repeatedly.","Waste"
"A damaged playground structure in University Quarter could injure children.","Public Safety"
"Loose power cables are hanging over the footpath at Cedar Lane.","Electricity"
"Residents in Airport Road receive water for only a few minutes each day.","Water"
"Road repair work in Airport Road has been left unfinished since this morning.","Roads"
"Plastic and household trash are being burned in the open at Airport Road.","Waste"
"People are openly consuming alcohol and creating disturbances at Riverside Ward.","Public Safety"
"Residents of Central Avenue are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Sewage appears to be mixing with the water supply in Lakeview Colony.","Water"
"The speed breaker at Lakeview Colony has no warning paint or sign.","Roads"
"The vacant plot near Lakeview Colony has become an illegal dumping site.","Waste"
"A large crowd is blocking the emergency entrance near Hospital Road.","Public Safety"
"The electricity meter at the community building in Old Town appears faulty.","Electricity"
"The overhead water tank serving School Street has not been cleaned for months.","Water"
"Rainwater is collecting in deep road depressions at School Street.","Roads"
"Medical waste has been discarded beside a public bin at School Street.","Waste"
"There is no security lighting around the public park at Industrial Area.","Public Safety"
"A loud blast came from the local transformer in Canal Road, followed by a blackout.","Electricity"
"A damaged valve near Bus Stand Road is wasting a large amount of water.","Water"
"A missing drain cover near Bus Stand Road makes the roadside unsafe.","Roads"
"The drain at Bus Stand Road is clogged with plastic waste and wrappers.","Waste"
"A stray animal behaving aggressively is chasing pedestrians at Meadow Block.","Public Safety"
"Only one phase of the power supply is working in Oak Avenue for the past two days.","Electricity"
"The scheduled water tanker has not arrived in Sunrise Apartments during peak hours.","Water"
"The approach road to Sunrise Apartments is full of cracks and loose gravel.","Roads"
"There are not enough public bins around Sunrise Apartments.","Waste"
"Firecrackers are being used dangerously close to homes in Cedar Lane.","Public Safety"
"Streetlights at the main crossing in Station Road stay dark at night.","Electricity"
"Drinking water supplied to Pine Road contains visible dirt particles.","Water"
"A fallen signboard is obstructing traffic at Pine Road.","Roads"
"Dead animal remains need to be removed from the roadside at Pine Road.","Waste"
"An abandoned vehicle at Central Avenue has been there for weeks and appears suspicious.","Public Safety"
"An exposed electrical junction box at North Colony is accessible to children.","Electricity"
"The hand pump at Green Park is not working for the past two days.","Water"
"The pedestrian crossing markings at Green Park have completely faded.","Roads"
"Garbage from nearby shops is scattered across Green Park every night.","Waste"
"A broken railing on the bridge at Old Town poses a fall hazard.","Public Safety"
"Power restoration at Church Road has still not happened since yesterday.","Electricity"
"Water collects around a leaking municipal connection in South Extension.","Water"
"Vehicles cannot pass easily because the road at South Extension has narrowed due to damage.","Roads"
"The waste bin at South Extension has no lid and smells very bad.","Waste"
"Unauthorized vendors are blocking the fire access lane at Canal Road.","Public Safety"
"Several streetlights along Harbor View flicker continuously after sunset.","Electricity"
"The main water line at Mill Lane needs repair because supply is interrupted daily.","Water"
"The newly paved section of Mill Lane is already developing potholes.","Roads"
"Street sweeping has not been done in Mill Lane for several nights.","Waste"
"A public building exit at Oak Avenue is locked during operating hours.","Public Safety"
"The overhead electricity wire at Market Square has fallen onto a tree branch.","Electricity"
"There is a strong chlorine taste in the tap water at Maple Street.","Water"
"A roadside trench at Maple Street was not filled after utility work.","Roads"
"Food waste is accumulating behind the market at Maple Street.","Waste"
"Residents report repeated thefts from parked vehicles in Station Road.","Public Safety"
"Unexpected power cuts are disrupting shops in West End for more than three days.","Electricity"
"Apartments in Hilltop Area are not receiving the announced morning water supply.","Water"
"The curb ramp at Hilltop Area is broken and inaccessible to wheelchair users.","Roads"
"A garbage truck spilled waste along Hilltop Area and did not clean it up.","Waste"
"A deep uncovered well near North Colony is accessible to children.","Public Safety"
"The transformer serving Rose Garden seems overloaded and overheats every evening.","Electricity"
"A public water tank in East Garden is overflowing continuously.","Water"
"There are no warning barriers around a deep excavation at East Garden.","Roads"
"Residents are leaving trash beside the full collection point in East Garden.","Waste"
"The emergency alarm in the community center at Church Road is not functioning.","Public Safety"
"A broken streetlight pole is blocking part of the sidewalk in Airport Road.","Electricity"
"The pipeline repair at Temple Street was incomplete and the leak has returned.","Water"
"The service road beside Temple Street needs resurfacing urgently.","Roads"
"Broken glass and cans are scattered in the public area at Temple Street.","Waste"
"Heavy vehicles are speeding through the residential streets of Harbor View.","Public Safety"
"Electricity supply in Lakeview Colony is unstable and household appliances are at risk.","Electricity"
"People in University Quarter need emergency drinking water because the supply has stopped.","Water"
"Uneven paving stones on the walkway at University Quarter are causing people to trip.","Roads"
"The compost collection service has stopped visiting University Quarter.","Waste"
"A threatening person is following pedestrians near Market Square and needs attention.","Public Safety"
"Please investigate: there has been no electricity in School Street for the past two days.","Electricity"
