"text","category"
"Please investigate: there is no water supply in Riverside Ward during peak hours.","Water"
"Please investigate: a large pothole at Riverside Ward is causing vehicles to swerve dangerously.","Roads"
"Please investigate: garbage has not been collected from Riverside Ward during peak hours.","Waste"
"Please investigate: a group is fighting near West End and residents feel unsafe.","Public Safety"
"Please investigate: power keeps going off repeatedly in Bus Stand Road every evening.","Electricity"
"Please investigate: a water pipe is leaking heavily near Hospital Road.","Water"
"Please investigate: the road surface in Hospital Road has broken apart after the recent rain.","Roads"
"Please investigate: an overflowing waste bin at Hospital Road is attracting flies and stray dogs.","Waste"
"Please investigate: there have been repeated incidents of harassment around Rose Garden after dark.","Public Safety"
"Please investigate: the streetlights near Sunrise Apartments are not working for several nights.","Electricity"
"Please investigate: tap water in Industrial Area is brown and has a bad smell for the past two days.","Water"
"Please investigate: an open manhole in the middle of Industrial Area is a serious accident risk.","Roads"
"Please investigate: people are dumping construction waste illegally near Industrial Area.","Waste"
"Please investigate: a suspicious unattended bag has been left at Airport Road.","Public Safety"
"Please investigate: a transformer near Pine Road is making sparks and needs urgent inspection.","Electricity"
"Please investigate: water pressure is too low for upper-floor residents in Meadow Block.","Water"
"Please investigate: construction debris is blocking one lane at Meadow Block.","Roads"
"Please investigate: a pile of rotting garbage is blocking the footpath at Meadow Block.","Waste"
"Please investigate: illegal street racing is taking place near Lakeview Colony at night.","Public Safety"
"Please investigate: voltage is extremely low in homes around Green Park since this morning.","Electricity"
"Please investigate: a burst pipeline is flooding the road at Cedar Lane.","Water"
"Please investigate: the footpath along Cedar Lane is damaged and difficult for pedestrians to use.","Roads"
"Please investigate: the community bin in Cedar Lane is broken and needs replacement.","Waste"
"Please investigate: the boundary wall of an abandoned building at School Street may collapse.","Public Safety"
"Please investigate: an electric pole at South Extension is leaning dangerously toward the road.","Electricity"
"Please investigate: the public drinking water tap at Central Avenue is broken.","Water"
"Please investigate: a traffic signal at the main junction in Central Avenue is not working.","Roads"
"Please investigate: waste collection vehicles are skipping Central Avenue repeatedly.","Waste"
"Please investigate: a damaged playground structure in Bus Stand Road could injure children.","Public Safety"
"Please investigate: loose power cables are hanging over the footpath at Mill Lane.","Electricity"
"Please investigate: residents in Old Town receive water for only a few minutes each day.","Water"
"Please investigate: road repair work in Old Town has been left unfinished since this morning.","Roads"
"Please investigate: plastic and household trash are being burned in the open at Old Town.","Waste"
"Please investigate: people are openly consuming alcohol and creating disturbances at Sunrise Apartments.","Public Safety"
"Please investigate: residents of Maple Street are facing frequent voltage fluctuations for nearly a week.","Electricity"
"Please investigate: sewage appears to be mixing with the water supply in Canal Road.","Water"
"Please investigate: the speed breaker at Canal Road has no warning paint or sign.","Roads"
"Please investigate: the vacant plot near Canal Road has become an illegal dumping site.","Waste"
"Please investigate: a large crowd is blocking the emergency entrance near Pine Road.","Public Safety"
"Please investigate: the electricity meter at the community building in Hilltop Area appears faulty.","Electricity"
"Please investigate: the overhead water tank serving Oak Avenue has not been cleaned for months.","Water"
"Please investigate: rainwater is collecting in deep road depressions at Oak Avenue.","Roads"
"Please investigate: medical waste has been discarded beside a public bin at Oak Avenue.","Waste"
"Please investigate: there is no security lighting around the public park at Green Park.","Public Safety"
"Please investigate: a loud blast came from the local transformer in East Garden, followed by a blackout.","Electricity"
"Please investigate: a damaged valve near Station Road is wasting a large amount of water.","Water"
"Please investigate: a missing drain cover near Station Road makes the roadside unsafe.","Roads"
"Please investigate: the drain at Station Road is clogged with plastic waste and wrappers.","Waste"
"Please investigate: a stray animal behaving aggressively is chasing pedestrians at South Extension.","Public Safety"
"Please investigate: only one phase of the power supply is working in Temple Street for the past two days.","Electricity"
"Please investigate: the scheduled water tanker has not arrived in North Colony during peak hours.","Water"
"Please investigate: the approach road to North Colony is full of cracks and loose gravel.","Roads"
"Please investigate: there are not enough public bins around North Colony.","Waste"
"Please investigate: firecrackers are being used dangerously close to homes in Mill Lane.","Public Safety"
"Please investigate: streetlights at the main crossing in University Quarter stay dark at night.","Electricity"
"Please investigate: drinking water supplied to Church Road contains visible dirt particles.","Water"
"Please investigate: a fallen signboard is obstructing traffic at Church Road.","Roads"
"Please investigate: dead animal remains need to be removed from the roadside at Church Road.","Waste"
"Please investigate: an abandoned vehicle at Maple Street has been there for weeks and appears suspicious.","Public Safety"
"Please investigate: an exposed electrical junction box at Riverside Ward is accessible to children.","Electricity"
"Please investigate: the hand pump at Harbor View is not working for the past two days.","Water"
"Please investigate: the pedestrian crossing markings at Harbor View have completely faded.","Roads"
"Please investigate: garbage from nearby shops is scattered across Harbor View every night.","Waste"
"Please investigate: a broken railing on the bridge at Hilltop Area poses a fall hazard.","Public Safety"
"Please investigate: power restoration at Hospital Road has still not happened since yesterday.","Electricity"
"Please investigate: water collects around a leaking municipal connection in Market Square.","Water"
"Please investigate: vehicles cannot pass easily because the road at Market Square has narrowed due to damage.","Roads"
"Please investigate: the waste bin at Market Square has no lid and smells very bad.","Waste"
"Please investigate: unauthorized vendors are blocking the fire access lane at East Garden.","Public Safety"
"Please investigate: several streetlights along Industrial Area flicker continuously after sunset.","Electricity"
"Please investigate: the main water line at West End needs repair because supply is interrupted daily.","Water"
"Please investigate: the newly paved section of West End is already developing potholes.","Roads"
"Please investigate: street sweeping has not been done in West End for several nights.","Waste"
"Please investigate: a public building exit at Temple Street is locked during operating hours.","Public Safety"
"Please investigate: the overhead electricity wire at Meadow Block has fallen onto a tree branch.","Electricity"
"Please investigate: there is a strong chlorine taste in the tap water at Rose Garden.","Water"
"Please investigate: a roadside trench at Rose Garden was not filled after utility work.","Roads"
"Please investigate: food waste is accumulating behind the market at Rose Garden.","Waste"
"Please investigate: residents report repeated thefts from parked vehicles in University Quarter.","Public Safety"
"Please investigate: unexpected power cuts are disrupting shops in Cedar Lane for more than three days.","Electricity"
"Please investigate: apartments in Airport Road are not receiving the announced morning water supply.","Water"
"Please investigate: the curb ramp at Airport Road is broken and inaccessible to wheelchair users.","Roads"
"Please investigate: a garbage truck spilled waste along Airport Road and did not clean it up.","Waste"
"Please investigate: a deep uncovered well near Riverside Ward is accessible to children.","Public Safety"
"Please investigate: the transformer serving Central Avenue seems overloaded and overheats every evening.","Electricity"
"Please investigate: a public water tank in Lakeview Colony is overflowing continuously.","Water"
"Please investigate: there are no warning barriers around a deep excavation at Lakeview Colony.","Roads"
"Please investigate: residents are leaving trash beside the full collection point in Lakeview Colony.","Waste"
"Please investigate: the emergency alarm in the community center at Hospital Road is not functioning.","Public Safety"
"Please investigate: a broken streetlight pole is blocking part of the sidewalk in Old Town.","Electricity"
"Please investigate: the pipeline repair at School Street was incomplete and the leak has returned.","Water"
"Please investigate: the service road beside School Street needs resurfacing urgently.","Roads"
"Please investigate: broken glass and cans are scattered in the public area at School Street.","Waste"
"Please investigate: heavy vehicles are speeding through the residential streets of Industrial Area.","Public Safety"
"Please investigate: electricity supply in Canal Road is unstable and household appliances are at risk.","Electricity"
"Please investigate: people in Bus Stand Road need emergency drinking water because the supply has stopped.","Water"
"Please investigate: uneven paving stones on the walkway at Bus Stand Road are causing people to trip.","Roads"
"Please investigate: the compost collection service has stopped visiting Bus Stand Road.","Waste"
"Please investigate: a threatening person is following pedestrians near Meadow Block and needs attention.","Public Safety"
"Please investigate: there has been no electricity in Oak Avenue for the past two days. Multiple residents have reported the same issue.","Electricity"
"Please investigate: there is no water supply in Sunrise Apartments during peak hours. Multiple residents have reported the same issue.","Water"
"Please investigate: a large pothole at Sunrise Apartments is causing vehicles to swerve dangerously. Multiple residents have reported the same issue.","Roads"
"Please investigate: garbage has not been collected from Sunrise Apartments during peak hours. Multiple residents have reported the same issue.","Waste"
"Please investigate: a group is fighting near Cedar Lane and residents feel unsafe. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: power keeps going off repeatedly in Station Road every evening. Multiple residents have reported the same issue.","Electricity"
"Please investigate: a water pipe is leaking heavily near Pine Road. Multiple residents have reported the same issue.","Water"
"Please investigate: the road surface in Pine Road has broken apart after the recent rain. Multiple residents have reported the same issue.","Roads"
"Please investigate: an overflowing waste bin at Pine Road is attracting flies and stray dogs. Multiple residents have reported the same issue.","Waste"
"Please investigate: there have been repeated incidents of harassment around Central Avenue after dark. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: the streetlights near North Colony are not working for several nights. Multiple residents have reported the same issue.","Electricity"
"Please investigate: tap water in Green Park is brown and has a bad smell for the past two days. Multiple residents have reported the same issue.","Water"
"Please investigate: an open manhole in the middle of Green Park is a serious accident risk. Multiple residents have reported the same issue.","Roads"
"Please investigate: people are dumping construction waste illegally near Green Park. Multiple residents have reported the same issue.","Waste"
"Please investigate: a suspicious unattended bag has been left at Old Town. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: a transformer near Church Road is making sparks and needs urgent inspection. Multiple residents have reported the same issue.","Electricity"
"Please investigate: water pressure is too low for upper-floor residents in South Extension. Multiple residents have reported the same issue.","Water"
"Please investigate: construction debris is blocking one lane at South Extension. Multiple residents have reported the same issue.","Roads"
"Please investigate: a pile of rotting garbage is blocking the footpath at South Extension. Multiple residents have reported the same issue.","Waste"
"Please investigate: illegal street racing is taking place near Canal Road at night. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: voltage is extremely low in homes around Harbor View since this morning. Multiple residents have reported the same issue.","Electricity"
"Please investigate: a burst pipeline is flooding the road at Mill Lane. Multiple residents have reported the same issue.","Water"
"Please investigate: the footpath along Mill Lane is damaged and difficult for pedestrians to use. Multiple residents have reported the same issue.","Roads"
"Please investigate: the community bin in Mill Lane is broken and needs replacement. Multiple residents have reported the same issue.","Waste"
"Please investigate: the boundary wall of an abandoned building at Oak Avenue may collapse. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: an electric pole at Market Square is leaning dangerously toward the road. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the public drinking water tap at Maple Street is broken. Multiple residents have reported the same issue.","Water"
"Please investigate: a traffic signal at the main junction in Maple Street is not working. Multiple residents have reported the same issue.","Roads"
"Please investigate: waste collection vehicles are skipping Maple Street repeatedly. Multiple residents have reported the same issue.","Waste"
"Please investigate: a damaged playground structure in Station Road could injure children. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: loose power cables are hanging over the footpath at West End. Multiple residents have reported the same issue.","Electricity"
"Please investigate: residents in Hilltop Area receive water for only a few minutes each day. Multiple residents have reported the same issue.","Water"
"Please investigate: road repair work in Hilltop Area has been left unfinished since this morning. Multiple residents have reported the same issue.","Roads"
"Please investigate: plastic and household trash are being burned in the open at Hilltop Area. Multiple residents have reported the same issue.","Waste"
"Please investigate: people are openly consuming alcohol and creating disturbances at North Colony. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: residents of Rose Garden are facing frequent voltage fluctuations for nearly a week. Multiple residents have reported the same issue.","Electricity"
"Please investigate: sewage appears to be mixing with the water supply in East Garden. Multiple residents have reported the same issue.","Water"
"Please investigate: the speed breaker at East Garden has no warning paint or sign. Multiple residents have reported the same issue.","Roads"
"Please investigate: the vacant plot near East Garden has become an illegal dumping site. Multiple residents have reported the same issue.","Waste"
"Please investigate: a large crowd is blocking the emergency entrance near Church Road. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: the electricity meter at the community building in Airport Road appears faulty. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the overhead water tank serving Temple Street has not been cleaned for months. Multiple residents have reported the same issue.","Water"
"Please investigate: rainwater is collecting in deep road depressions at Temple Street. Multiple residents have reported the same issue.","Roads"
"Please investigate: medical waste has been discarded beside a public bin at Temple Street. Multiple residents have reported the same issue.","Waste"
"Please investigate: there is no security lighting around the public park at Harbor View. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: a loud blast came from the local transformer in Lakeview Colony, followed by a blackout. Multiple residents have reported the same issue.","Electricity"
"Please investigate: a damaged valve near University Quarter is wasting a large amount of water. Multiple residents have reported the same issue.","Water"
"Please investigate: a missing drain cover near University Quarter makes the roadside unsafe. Multiple residents have reported the same issue.","Roads"
"Please investigate: the drain at University Quarter is clogged with plastic waste and wrappers. Multiple residents have reported the same issue.","Waste"
"Please investigate: a stray animal behaving aggressively is chasing pedestrians at Market Square. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: only one phase of the power supply is working in School Street for the past two days. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the scheduled water tanker has not arrived in Riverside Ward during peak hours. Multiple residents have reported the same issue.","Water"
"Please investigate: the approach road to Riverside Ward is full of cracks and loose gravel. Multiple residents have reported the same issue.","Roads"
"Please investigate: there are not enough public bins around Riverside Ward. Multiple residents have reported the same issue.","Waste"
"Please investigate: firecrackers are being used dangerously close to homes in West End. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: streetlights at the main crossing in Bus Stand Road stay dark at night. Multiple residents have reported the same issue.","Electricity"
"Please investigate: drinking water supplied to Hospital Road contains visible dirt particles. Multiple residents have reported the same issue.","Water"
"Please investigate: a fallen signboard is obstructing traffic at Hospital Road. Multiple residents have reported the same issue.","Roads"
"Please investigate: dead animal remains need to be removed from the roadside at Hospital Road. Multiple residents have reported the same issue.","Waste"
"Please investigate: an abandoned vehicle at Rose Garden has been there for weeks and appears suspicious. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: an exposed electrical junction box at Sunrise Apartments is accessible to children. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the hand pump at Industrial Area is not working for the past two days. Multiple residents have reported the same issue.","Water"
"Please investigate: the pedestrian crossing markings at Industrial Area have completely faded. Multiple residents have reported the same issue.","Roads"
"Please investigate: garbage from nearby shops is scattered across Industrial Area every night. Multiple residents have reported the same issue.","Waste"
"Please investigate: a broken railing on the bridge at Airport Road poses a fall hazard. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: power restoration at Pine Road has still not happened since yesterday. Multiple residents have reported the same issue.","Electricity"
"Please investigate: water collects around a leaking municipal connection in Meadow Block. Multiple residents have reported the same issue.","Water"
"Please investigate: vehicles cannot pass easily because the road at Meadow Block has narrowed due to damage. Multiple residents have reported the same issue.","Roads"
"Please investigate: the waste bin at Meadow Block has no lid and smells very bad. Multiple residents have reported the same issue.","Waste"
"Please investigate: unauthorized vendors are blocking the fire access lane at Lakeview Colony. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: several streetlights along Green Park flicker continuously after sunset. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the main water line at Cedar Lane needs repair because supply is interrupted daily. Multiple residents have reported the same issue.","Water"
"Please investigate: the newly paved section of Cedar Lane is already developing potholes. Multiple residents have reported the same issue.","Roads"
"Please investigate: street sweeping has not been done in Cedar Lane for several nights. Multiple residents have reported the same issue.","Waste"
"Please investigate: a public building exit at School Street is locked during operating hours. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: the overhead electricity wire at South Extension has fallen onto a tree branch. Multiple residents have reported the same issue.","Electricity"
"Please investigate: there is a strong chlorine taste in the tap water at Central Avenue. Multiple residents have reported the same issue.","Water"
"Please investigate: a roadside trench at Central Avenue was not filled after utility work. Multiple residents have reported the same issue.","Roads"
"Please investigate: food waste is accumulating behind the market at Central Avenue. Multiple residents have reported the same issue.","Waste"
"Please investigate: residents report repeated thefts from parked vehicles in Bus Stand Road. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: unexpected power cuts are disrupting shops in Mill Lane for more than three days. Multiple residents have reported the same issue.","Electricity"
"Please investigate: apartments in Old Town are not receiving the announced morning water supply. Multiple residents have reported the same issue.","Water"
"Please investigate: the curb ramp at Old Town is broken and inaccessible to wheelchair users. Multiple residents have reported the same issue.","Roads"
"Please investigate: a garbage truck spilled waste along Old Town and did not clean it up. Multiple residents have reported the same issue.","Waste"
"Please investigate: a deep uncovered well near Sunrise Apartments is accessible to children. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: the transformer serving Maple Street seems overloaded and overheats every evening. Multiple residents have reported the same issue.","Electricity"
"Please investigate: a public water tank in Canal Road is overflowing continuously. Multiple residents have reported the same issue.","Water"
"Please investigate: there are no warning barriers around a deep excavation at Canal Road. Multiple residents have reported the same issue.","Roads"
"Please investigate: residents are leaving trash beside the full collection point in Canal Road. Multiple residents have reported the same issue.","Waste"
"Please investigate: the emergency alarm in the community center at Pine Road is not functioning. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: a broken streetlight pole is blocking part of the sidewalk in Hilltop Area. Multiple residents have reported the same issue.","Electricity"
"Please investigate: the pipeline repair at Oak Avenue was incomplete and the leak has returned. Multiple residents have reported the same issue.","Water"
"Please investigate: the service road beside Oak Avenue needs resurfacing urgently. Multiple residents have reported the same issue.","Roads"
"Please investigate: broken glass and cans are scattered in the public area at Oak Avenue. Multiple residents have reported the same issue.","Waste"
"Please investigate: heavy vehicles are speeding through the residential streets of Green Park. Multiple residents have reported the same issue.","Public Safety"
"Please investigate: electricity supply in East Garden is unstable and household appliances are at risk. Multiple residents have reported the same issue.","Electricity"
"Please investigate: people in Station Road need emergency drinking water because the supply has stopped. Multiple residents have reported the same issue.","Water"
"Please investigate: uneven paving stones on the walkway at Station Road are causing people to trip. Multiple residents have reported the same issue.","Roads"
"Please investigate: the compost collection service has stopped visiting Station Road. Multiple residents have reported the same issue.","Waste"
"Please investigate: a threatening person is following pedestrians near South Extension and needs attention. Multiple residents have reported the same issue.","Public Safety"
